job_id,title,company_size,industry,country,city,remote_type,employment_type,experience_level,date_posted
50,Frontend Engineer,Medium (201-1000),Automotive,Spain,Valencia,On-site,Full-time,Executive,2023-07-02
51,Software Engineer,Enterprise (5000+),Consulting,Poland,Krakow,Hybrid,Part-time,Entry,2024-03-22
52,Data Engineer,Enterprise (5000+),Gaming,Poland,Wroclaw,Remote,Full-time,Lead,2023-01-02
53,Backend Engineer,Startup (1-50),Cybersecurity,India,Hyderabad,On-site,Working Student,Lead,2023-11-18
54,Security Engineer,Enterprise (5000+),Gaming,Spain,Madrid,Hybrid,Full-time,Senior,2024-12-14
55,Data Analyst,Large (1001-5000),E-Commerce,France,Toulouse,Hybrid,Full-time,Mid,2024-09-22
56,Frontend Engineer,Startup (1-50),Cybersecurity,Poland,Krakow,Hybrid,Full-time,Executive,2024-09-13
57,DevOps Engineer,Large (1001-5000),E-Commerce,Spain,Barcelona,Hybrid,Full-time,Lead,2024-11-05
58,Product Manager,Medium (201-1000),SaaS,United States,Seattle,Remote,Working Student,Executive,2024-11-19
59,Machine Learning Engineer,Startup (1-50),Cybersecurity,France,Paris,Remote,Working Student,Mid,2023-03-16
60,Cloud Architect,Small (51-200),Gaming,Australia,Melbourne,Hybrid,Full-time,Executive,2023-09-07
61,Data Engineer,Small (51-200),EdTech,United Kingdom,London,Remote,Working Student,Lead,2024-04-20
62,Machine Learning Engineer,Large (1001-5000),EdTech,Germany,Stuttgart,Remote,Full-time,Entry,2024-07-26
63,DevOps Engineer,Enterprise (5000+),Logistics,Poland,Krakow,Hybrid,Working Student,Executive,2023-06-12
64,DevOps Engineer,Small (51-200),EdTech,Sweden,Gothenburg,On-site,Full-time,Senior,2024-05-11
65,iOS Developer,Startup (1-50),Consulting,Spain,Madrid,Hybrid,Full-time,Lead,2023-11-24
66,Data Analyst,Small (51-200),SaaS,India,Bangalore,Hybrid,Full-time,Mid,2023-03-07
67,Backend Engineer,Large (1001-5000),Gaming,Switzerland,Geneva,Hybrid,Full-time,Executive,2024-02-03
68,Software Engineer,Large (1001-5000),Automotive,Poland,Wroclaw,Hybrid,Working Student,Executive,2024-02-04
69,Security Engineer,Enterprise (5000+),Automotive,Switzerland,Basel,On-site,Full-time,Executive,2024-03-22
70,Frontend Engineer,Large (1001-5000),E-Commerce,Australia,Sydney,Hybrid,Contract,Senior,2024-09-29
71,Frontend Engineer,Enterprise (5000+),Gaming,India,Bangalore,Hybrid,Full-time,Executive,2023-05-19
72,Software Engineer,Large (1001-5000),Consulting,Australia,Sydney,Hybrid,Full-time,Senior,2024-01-24
73,iOS Developer,Large (1001-5000),Consulting,France,Lyon,Remote,Full-time,Entry,2023-08-18
74,Cloud Architect,Startup (1-50),FinTech,Spain,Madrid,On-site,Full-time,Entry,2024-09-28
75,Data Analyst,Startup (1-50),Automotive,United Kingdom,Manchester,Hybrid,Full-time,Lead,2024-01-13
76,Data Analyst,Startup (1-50),Cybersecurity,United Kingdom,London,Hybrid,Working Student,Senior,2024-11-24
77,Security Engineer,Startup (1-50),SaaS,Switzerland,Geneva,Hybrid,Contract,Mid,2023-04-15
78,Cloud Architect,Startup (1-50),FinTech,Sweden,Gothenburg,On-site,Full-time,Executive,2023-12-22
79,Cloud Architect,Startup (1-50),Gaming,India,Mumbai,Hybrid,Full-time,Senior,2024-05-16
80,Backend Engineer,Small (51-200),Automotive,United States,Austin,Hybrid,Part-time,Lead,2024-09-22
81,DevOps Engineer,Enterprise (5000+),HealthTech,India,Mumbai,Remote,Contract,Lead,2023-10-13
82,DevOps Engineer,Enterprise (5000+),Logistics,Australia,Sydney,Hybrid,Full-time,Executive,2023-11-29
83,Machine Learning Engineer,Medium (201-1000),Automotive,United Kingdom,Bristol,Hybrid,Contract,Senior,2024-07-23
84,Machine Learning Engineer,Small (51-200),SaaS,Germany,Stuttgart,Hybrid,Full-time,Entry,2024-12-08
85,Security Engineer,Large (1001-5000),SaaS,Australia,Brisbane,On-site,Full-time,Lead,2024-02-19
86,iOS Developer,Medium (201-1000),Gaming,Sweden,Stockholm,Hybrid,Full-time,Executive,2024-07-17
87,Security Engineer,Medium (201-1000),SaaS,Canada,Vancouver,Hybrid,Full-time,Lead,2023-11-20
88,Security Engineer,Small (51-200),Cybersecurity,United States,Boston,Remote,Full-time,Mid,2024-06-21
89,Data Engineer,Medium (201-1000),FinTech,Poland,Krakow,Remote,Full-time,Mid,2024-12-26
90,iOS Developer,Startup (1-50),E-Commerce,India,Hyderabad,Hybrid,Full-time,Entry,2024-10-15
91,Software Engineer,Medium (201-1000),E-Commerce,Australia,Sydney,Hybrid,Full-time,Executive,2023-02-22
92,Data Engineer,Large (1001-5000),FinTech,France,Lyon,Hybrid,Full-time,Entry,2023-06-05
93,Data Engineer,Startup (1-50),Cybersecurity,United Kingdom,Edinburgh,Hybrid,Full-time,Mid,2024-09-25
94,Frontend Engineer,Large (1001-5000),Gaming,Netherlands,Utrecht,Remote,Full-time,Lead,2023-11-09
95,Software Engineer,Startup (1-50),SaaS,Poland,Wroclaw,On-site,Full-time,Executive,2023-09-28
96,Data Analyst,Small (51-200),Gaming,Spain,Madrid,Hybrid,Full-time,Mid,2024-04-06
97,iOS Developer,Small (51-200),Logistics,Sweden,Gothenburg,Remote,Full-time,Entry,2023-03-14
98,iOS Developer,Small (51-200),E-Commerce,Spain,Madrid,Hybrid,Full-time,Executive,2023-09-30
99,Software Engineer,Medium (201-1000),Automotive,United Kingdom,London,Hybrid,Contract,Mid,2024-03-25
100,Security Engineer,Large (1001-5000),Logistics,United States,Austin,On-site,Full-time,Senior,2024-03-24
101,Software Engineer,Medium (201-1000),SaaS,United States,Boston,Hybrid,Full-time,Lead,2024-11-21
102,Software Engineer,Enterprise (5000+),Logistics,Poland,Wroclaw,Remote,Contract,Senior,2024-06-15
103,iOS Developer,Enterprise (5000+),HealthTech,Spain,Barcelona,Hybrid,Contract,Mid,2024-04-26
104,Backend Engineer,Startup (1-50),Logistics,Canada,Vancouver,On-site,Full-time,Senior,2023-10-23
105,Product Manager,Large (1001-5000),HealthTech,Spain,Barcelona,Remote,Full-time,Entry,2024-02-18
106,Cloud Architect,Large (1001-5000),Consulting,India,Bangalore,Hybrid,Full-time,Executive,2024-09-29
107,DevOps Engineer,Small (51-200),Automotive,Australia,Brisbane,Remote,Full-time,Entry,2024-03-24
108,Data Engineer,Enterprise (5000+),Automotive,Sweden,Gothenburg,On-site,Part-time,Entry,2024-07-18
109,Frontend Engineer,Small (51-200),Logistics,Germany,Stuttgart,On-site,Working Student,Entry,2023-05-01
110,DevOps Engineer,Enterprise (5000+),Logistics,Spain,Madrid,Hybrid,Full-time,Senior,2024-04-28
111,Product Manager,Large (1001-5000),E-Commerce,Netherlands,Rotterdam,Remote,Full-time,Mid,2023-03-13
112,Backend Engineer,Medium (201-1000),Automotive,France,Lyon,On-site,Full-time,Executive,2024-08-24
113,DevOps Engineer,Large (1001-5000),EdTech,Poland,Wroclaw,Hybrid,Full-time,Mid,2024-07-10
114,Backend Engineer,Small (51-200),Gaming,Switzerland,Geneva,Hybrid,Full-time,Mid,2023-02-14
115,DevOps Engineer,Large (1001-5000),E-Commerce,Canada,Montreal,On-site,Contract,Lead,2024-05-22
116,Product Manager,Medium (201-1000),Logistics,Germany,Munich,On-site,Contract,Executive,2023-04-13
117,Software Engineer,Large (1001-5000),HealthTech,India,Mumbai,On-site,Working Student,Mid,2024-04-25
118,Business Intelligence Analyst,Startup (1-50),EdTech,France,Lyon,On-site,Contract,Lead,2024-01-25
119,Security Engineer,Enterprise (5000+),Automotive,Canada,Montreal,Remote,Full-time,Lead,2023-08-21
120,Frontend Engineer,Startup (1-50),FinTech,Sweden,Stockholm,Hybrid,Full-time,Entry,2023-02-17
121,iOS Developer,Medium (201-1000),Gaming,Canada,Toronto,Hybrid,Full-time,Senior,2024-08-02
122,Data Analyst,Startup (1-50),SaaS,Spain,Madrid,Hybrid,Full-time,Mid,2024-05-24
123,Machine Learning Engineer,Medium (201-1000),Logistics,Poland,Warsaw,Hybrid,Full-time,Lead,2023-10-22
124,Data Analyst,Large (1001-5000),Automotive,Spain,Valencia,On-site,Working Student,Entry,2024-10-16
125,iOS Developer,Medium (201-1000),Logistics,Switzerland,Basel,Remote,Full-time,Lead,2023-04-20
126,Business Intelligence Analyst,Enterprise (5000+),FinTech,Netherlands,Rotterdam,Remote,Full-time,Senior,2024-11-05
127,Software Engineer,Startup (1-50),Automotive,Switzerland,Geneva,On-site,Part-time,Executive,2023-08-24
128,Machine Learning Engineer,Enterprise (5000+),E-Commerce,Poland,Krakow,Remote,Contract,Mid,2024-10-05
129,iOS Developer,Startup (1-50),HealthTech,United States,San Francisco,Hybrid,Part-time,Lead,2023-10-30
130,Frontend Engineer,Small (51-200),Consulting,Canada,Montreal,Remote,Full-time,Mid,2024-06-27
131,Data Analyst,Large (1001-5000),Consulting,India,Pune,On-site,Full-time,Senior,2023-04-28
132,Data Analyst,Large (1001-5000),Consulting,Australia,Sydney,On-site,Contract,Mid,2023-04-03
133,iOS Developer,Startup (1-50),Automotive,Switzerland,Zurich,Hybrid,Full-time,Executive,2024-08-21
134,Backend Engineer,Small (51-200),EdTech,Switzerland,Basel,Hybrid,Full-time,Entry,2023-12-02
135,Cloud Architect,Large (1001-5000),Gaming,Poland,Warsaw,On-site,Full-time,Entry,2023-04-30
136,Software Engineer,Large (1001-5000),EdTech,United Kingdom,London,Remote,Full-time,Senior,2023-05-19
137,Backend Engineer,Large (1001-5000),Gaming,Switzerland,Geneva,Hybrid,Part-time,Executive,2024-11-01
138,Business Intelligence Analyst,Medium (201-1000),Logistics,United States,Austin,Remote,Full-time,Lead,2024-03-31
139,Data Engineer,Enterprise (5000+),FinTech,Netherlands,Rotterdam,On-site,Full-time,Senior,2024-02-12
140,Data Engineer,Startup (1-50),Cybersecurity,France,Paris,Hybrid,Full-time,Lead,2023-01-22
141,Machine Learning Engineer,Enterprise (5000+),EdTech,Germany,Hamburg,Remote,Contract,Mid,2023-08-01
142,Machine Learning Engineer,Small (51-200),Automotive,Poland,Warsaw,On-site,Full-time,Senior,2023-05-29
143,Data Analyst,Startup (1-50),SaaS,United Kingdom,Edinburgh,Remote,Full-time,Entry,2024-08-25
144,Data Analyst,Startup (1-50),HealthTech,Canada,Toronto,Remote,Full-time,Senior,2023-03-07
145,Backend Engineer,Enterprise (5000+),Cybersecurity,Australia,Melbourne,Remote,Full-time,Executive,2023-02-14
146,DevOps Engineer,Startup (1-50),Gaming,Sweden,Gothenburg,On-site,Contract,Entry,2024-12-03
147,Security Engineer,Startup (1-50),E-Commerce,United States,Austin,On-site,Full-time,Lead,2023-03-09
148,Business Intelligence Analyst,Enterprise (5000+),Cybersecurity,United Kingdom,Edinburgh,Hybrid,Full-time,Executive,2024-06-27
149,Product Manager,Large (1001-5000),EdTech,France,Lyon,Remote,Part-time,Executive,2023-08-09
150,Machine Learning Engineer,Medium (201-1000),HealthTech,Switzerland,Geneva,On-site,Full-time,Lead,2023-11-17
151,Cloud Architect,Medium (201-1000),Logistics,Switzerland,Geneva,On-site,Full-time,Senior,2023-03-10
152,Data Engineer,Startup (1-50),E-Commerce,United States,San Francisco,Hybrid,Full-time,Lead,2024-07-23
153,Product Manager,Medium (201-1000),Gaming,Germany,Stuttgart,Hybrid,Full-time,Executive,2023-02-22
154,iOS Developer,Startup (1-50),Logistics,France,Toulouse,Hybrid,Full-time,Senior,2023-08-18
155,Product Manager,Startup (1-50),Gaming,United States,Seattle,On-site,Full-time,Senior,2024-07-28
156,Cloud Architect,Startup (1-50),Automotive,Poland,Wroclaw,Hybrid,Full-time,Executive,2023-01-30
157,Security Engineer,Medium (201-1000),E-Commerce,United Kingdom,Edinburgh,Hybrid,Full-time,Senior,2024-08-02
158,Data Engineer,Startup (1-50),Gaming,Spain,Barcelona,Remote,Full-time,Mid,2024-03-05
159,Data Analyst,Medium (201-1000),Cybersecurity,Australia,Melbourne,Hybrid,Contract,Senior,2024-09-02
160,Data Analyst,Enterprise (5000+),Logistics,United States,San Francisco,Remote,Full-time,Mid,2024-11-08
161,Business Intelligence Analyst,Large (1001-5000),HealthTech,Switzerland,Geneva,Remote,Contract,Lead,2023-12-20
162,iOS Developer,Large (1001-5000),SaaS,Switzerland,Zurich,Hybrid,Full-time,Executive,2024-02-09
163,Software Engineer,Medium (201-1000),Automotive,Poland,Warsaw,On-site,Contract,Mid,2023-10-24
164,Software Engineer,Large (1001-5000),SaaS,Canada,Toronto,Remote,Full-time,Lead,2024-05-27
165,Data Engineer,Startup (1-50),HealthTech,India,Pune,Hybrid,Full-time,Lead,2023-11-17
166,Business Intelligence Analyst,Large (1001-5000),Consulting,Poland,Krakow,Remote,Full-time,Lead,2023-06-25
167,Security Engineer,Startup (1-50),Gaming,Poland,Krakow,Hybrid,Full-time,Senior,2024-08-26
168,Data Engineer,Medium (201-1000),E-Commerce,Switzerland,Basel,Hybrid,Full-time,Lead,2023-03-20
169,Product Manager,Small (51-200),E-Commerce,India,Bangalore,On-site,Full-time,Executive,2023-08-30
170,iOS Developer,Small (51-200),HealthTech,United States,New York,Hybrid,Contract,Mid,2023-07-01
171,DevOps Engineer,Enterprise (5000+),Cybersecurity,Spain,Barcelona,Hybrid,Working Student,Executive,2024-10-20
172,Backend Engineer,Small (51-200),Automotive,Spain,Valencia,Hybrid,Full-time,Senior,2023-10-09
173,Backend Engineer,Startup (1-50),FinTech,Poland,Warsaw,Hybrid,Full-time,Executive,2024-01-13
174,Cloud Architect,Enterprise (5000+),Cybersecurity,France,Paris,Hybrid,Full-time,Entry,2024-07-21
175,DevOps Engineer,Small (51-200),E-Commerce,Sweden,Stockholm,Hybrid,Full-time,Executive,2023-03-05
176,Backend Engineer,Enterprise (5000+),Logistics,Australia,Sydney,Hybrid,Full-time,Entry,2024-03-25
177,Backend Engineer,Medium (201-1000),Cybersecurity,India,Hyderabad,Hybrid,Contract,Senior,2023-02-23
178,Backend Engineer,Medium (201-1000),Automotive,Spain,Valencia,Remote,Full-time,Entry,2023-09-16
179,Backend Engineer,Enterprise (5000+),Automotive,Sweden,Stockholm,Hybrid,Working Student,Entry,2024-11-02
180,Data Analyst,Startup (1-50),Consulting,Sweden,Gothenburg,Hybrid,Full-time,Executive,2023-05-11
181,Security Engineer,Startup (1-50),Consulting,Spain,Valencia,Hybrid,Full-time,Executive,2023-01-19
182,Data Analyst,Medium (201-1000),SaaS,Canada,Vancouver,On-site,Full-time,Mid,2023-05-21
183,iOS Developer,Enterprise (5000+),EdTech,United Kingdom,London,On-site,Contract,Entry,2023-02-08
184,Business Intelligence Analyst,Enterprise (5000+),Cybersecurity,Spain,Barcelona,Hybrid,Full-time,Mid,2023-06-19
185,Software Engineer,Medium (201-1000),Logistics,Sweden,Gothenburg,Hybrid,Full-time,Lead,2024-09-17
186,DevOps Engineer,Enterprise (5000+),Logistics,France,Toulouse,Remote,Working Student,Mid,2023-07-18
187,Business Intelligence Analyst,Large (1001-5000),EdTech,Canada,Montreal,On-site,Contract,Lead,2024-06-24
188,Machine Learning Engineer,Small (51-200),Logistics,Switzerland,Zurich,On-site,Full-time,Executive,2024-01-16
189,Security Engineer,Startup (1-50),Automotive,India,Bangalore,Remote,Contract,Executive,2024-04-05
190,Frontend Engineer,Small (51-200),FinTech,India,Hyderabad,On-site,Contract,Entry,2024-02-29
191,Product Manager,Small (51-200),SaaS,Germany,Frankfurt,Hybrid,Full-time,Senior,2023-01-29
192,Security Engineer,Small (51-200),Logistics,Canada,Toronto,Remote,Full-time,Senior,2024-12-13
193,DevOps Engineer,Startup (1-50),SaaS,United Kingdom,Bristol,On-site,Full-time,Executive,2023-06-03
194,Data Engineer,Small (51-200),Gaming,India,Mumbai,Hybrid,Full-time,Senior,2024-10-16
195,Data Engineer,Large (1001-5000),EdTech,Poland,Krakow,Hybrid,Full-time,Entry,2024-08-11
196,Data Analyst,Large (1001-5000),Cybersecurity,Netherlands,Utrecht,Remote,Full-time,Senior,2024-03-02
197,Product Manager,Startup (1-50),EdTech,United Kingdom,London,On-site,Full-time,Senior,2024-07-21
198,DevOps Engineer,Large (1001-5000),FinTech,Germany,Frankfurt,On-site,Full-time,Entry,2024-01-01
199,Machine Learning Engineer,Enterprise (5000+),FinTech,United States,Seattle,Hybrid,Full-time,Entry,2023-12-27
200,Cloud Architect,Large (1001-5000),E-Commerce,India,Pune,On-site,Full-time,Mid,2023-05-19
201,Software Engineer,Small (51-200),FinTech,United States,Austin,Remote,Full-time,Senior,2023-11-20
202,Frontend Engineer,Large (1001-5000),SaaS,France,Toulouse,Remote,Contract,Executive,2023-10-20
203,Cloud Architect,Medium (201-1000),Gaming,Canada,Toronto,Remote,Full-time,Senior,2024-03-26
204,Data Analyst,Large (1001-5000),Automotive,Switzerland,Geneva,Hybrid,Contract,Lead,2023-03-26
205,Data Engineer,Enterprise (5000+),Automotive,Sweden,Gothenburg,On-site,Full-time,Lead,2023-11-25
206,Backend Engineer,Medium (201-1000),E-Commerce,United States,San Francisco,Hybrid,Part-time,Senior,2024-12-07
207,DevOps Engineer,Medium (201-1000),FinTech,Australia,Melbourne,Hybrid,Full-time,Entry,2023-03-18
208,Frontend Engineer,Enterprise (5000+),FinTech,Spain,Valencia,On-site,Full-time,Senior,2023-05-27
209,DevOps Engineer,Small (51-200),Consulting,Poland,Wroclaw,Remote,Contract,Entry,2024-01-06
210,Software Engineer,Small (51-200),Consulting,Switzerland,Basel,Hybrid,Working Student,Executive,2024-03-30
211,Data Analyst,Medium (201-1000),SaaS,United States,Boston,Hybrid,Full-time,Executive,2023-04-27
212,DevOps Engineer,Large (1001-5000),Automotive,Germany,Munich,On-site,Full-time,Executive,2024-12-21
213,Business Intelligence Analyst,Large (1001-5000),HealthTech,Australia,Sydney,Remote,Full-time,Senior,2024-04-07
214,Data Engineer,Medium (201-1000),Automotive,United Kingdom,Bristol,Hybrid,Full-time,Senior,2023-11-04
215,Backend Engineer,Small (51-200),E-Commerce,United Kingdom,Manchester,Remote,Full-time,Executive,2023-08-31
216,Backend Engineer,Enterprise (5000+),EdTech,Australia,Sydney,Hybrid,Contract,Executive,2023-05-13
217,Data Engineer,Large (1001-5000),EdTech,Poland,Warsaw,On-site,Part-time,Senior,2024-02-25
218,Data Engineer,Medium (201-1000),EdTech,Switzerland,Basel,Hybrid,Full-time,Mid,2023-12-19
219,Data Analyst,Enterprise (5000+),HealthTech,United Kingdom,Manchester,On-site,Full-time,Lead,2024-06-14
220,Data Analyst,Medium (201-1000),EdTech,United Kingdom,Edinburgh,On-site,Full-time,Mid,2023-10-18
221,Machine Learning Engineer,Medium (201-1000),EdTech,United States,Seattle,Remote,Full-time,Executive,2023-04-06
222,Business Intelligence Analyst,Small (51-200),Cybersecurity,India,Hyderabad,Remote,Full-time,Executive,2023-12-12
223,Software Engineer,Startup (1-50),Automotive,Poland,Warsaw,On-site,Contract,Entry,2024-10-28
224,Frontend Engineer,Startup (1-50),Automotive,Netherlands,Utrecht,Hybrid,Full-time,Executive,2024-10-19
225,Machine Learning Engineer,Medium (201-1000),E-Commerce,France,Lyon,Hybrid,Full-time,Lead,2024-03-26
226,DevOps Engineer,Medium (201-1000),Consulting,Switzerland,Geneva,Hybrid,Full-time,Mid,2023-12-20
227,Backend Engineer,Enterprise (5000+),HealthTech,Switzerland,Zurich,Remote,Full-time,Executive,2023-10-01
228,Data Analyst,Startup (1-50),Cybersecurity,Australia,Sydney,Remote,Full-time,Entry,2024-03-04
229,Backend Engineer,Medium (201-1000),EdTech,Netherlands,Amsterdam,Remote,Full-time,Executive,2024-04-23
230,DevOps Engineer,Startup (1-50),SaaS,Australia,Melbourne,On-site,Full-time,Entry,2023-08-09
231,Software Engineer,Medium (201-1000),Logistics,Poland,Krakow,Hybrid,Contract,Entry,2023-10-20
232,Data Engineer,Small (51-200),Gaming,India,Bangalore,On-site,Part-time,Lead,2024-01-10
233,Software Engineer,Enterprise (5000+),HealthTech,Germany,Frankfurt,Remote,Full-time,Executive,2024-01-31
234,Product Manager,Enterprise (5000+),HealthTech,India,Mumbai,Hybrid,Full-time,Senior,2024-02-08
235,Product Manager,Small (51-200),EdTech,Canada,Vancouver,Remote,Full-time,Senior,2023-02-11
236,Data Analyst,Large (1001-5000),EdTech,Germany,Berlin,Hybrid,Full-time,Senior,2023-05-24
237,Backend Engineer,Large (1001-5000),Automotive,Canada,Montreal,On-site,Part-time,Mid,2024-08-30
238,Product Manager,Large (1001-5000),FinTech,Canada,Montreal,Hybrid,Full-time,Executive,2024-01-13
239,Data Engineer,Enterprise (5000+),FinTech,Canada,Montreal,Hybrid,Contract,Lead,2024-09-03
240,Cloud Architect,Enterprise (5000+),Logistics,Australia,Melbourne,Remote,Full-time,Executive,2023-06-24
241,Data Analyst,Startup (1-50),SaaS,India,Mumbai,Hybrid,Part-time,Mid,2023-01-20
242,Frontend Engineer,Large (1001-5000),Cybersecurity,Australia,Melbourne,Hybrid,Full-time,Mid,2024-04-27
243,Security Engineer,Enterprise (5000+),Logistics,Sweden,Stockholm,Remote,Full-time,Mid,2024-06-22
244,Data Analyst,Enterprise (5000+),Automotive,Switzerland,Geneva,Hybrid,Full-time,Lead,2024-09-16
245,Machine Learning Engineer,Enterprise (5000+),Automotive,Australia,Sydney,Remote,Working Student,Senior,2023-10-23
246,Security Engineer,Medium (201-1000),Automotive,Sweden,Stockholm,Hybrid,Full-time,Lead,2023-10-22
247,Cloud Architect,Large (1001-5000),Consulting,United States,Boston,On-site,Full-time,Executive,2023-05-30
248,iOS Developer,Medium (201-1000),Logistics,France,Paris,On-site,Full-time,Entry,2023-08-08
249,iOS Developer,Medium (201-1000),Cybersecurity,Netherlands,Utrecht,Remote,Full-time,Executive,2023-09-03
250,Cloud Architect,Small (51-200),Gaming,Netherlands,Amsterdam,Hybrid,Full-time,Executive,2023-12-05
251,Data Engineer,Startup (1-50),E-Commerce,Sweden,Gothenburg,On-site,Working Student,Mid,2024-02-21
252,DevOps Engineer,Medium (201-1000),HealthTech,Spain,Barcelona,Hybrid,Full-time,Mid,2024-10-29
253,Product Manager,Small (51-200),FinTech,Poland,Warsaw,Hybrid,Contract,Entry,2024-02-11
254,Security Engineer,Startup (1-50),HealthTech,Australia,Sydney,Remote,Full-time,Senior,2023-12-10
255,Cloud Architect,Enterprise (5000+),EdTech,France,Lyon,Hybrid,Working Student,Executive,2024-04-24
